id,x,y,z,date_mpu,time_mpu,time_float
376,-4228,-3168,14832,2022-03-26,17:40:25,17.6736
377,-4332,-3052,14828,2022-03-26,17:40:40,17.6778
378,-4272,-3052,15028,2022-03-26,17:40:56,17.6822
379,-4196,-2848,14940,2022-03-26,17:41:12,17.6867
380,-4144,-2952,14896,2022-03-26,17:41:27,17.6908
381,-4132,-2832,14840,2022-03-26,17:41:43,17.6953
382,-4296,-3000,14804,2022-03-26,17:41:59,17.6997
383,-4044,-3004,14928,2022-03-26,17:42:14,17.7039
384,-4172,-2980,15056,2022-03-26,17:42:30,17.7083
385,-4196,-2952,14956,2022-03-26,17:42:46,17.7128
386,-4224,-2944,15044,2022-03-26,17:43:01,17.7169
387,-4108,-2912,14780,2022-03-26,17:43:17,17.7214
388,-4340,-2924,14680,2022-03-26,17:43:33,17.7258
389,-4148,-2992,14872,2022-03-26,17:43:48,17.73
390,-4132,-2984,14780,2022-03-26,17:44:04,17.7344
391,-4196,-2932,14844,2022-03-26,17:44:20,17.7389
392,-4216,-2976,14824,2022-03-26,17:44:35,17.7431
393,-4212,-2968,14848,2022-03-26,17:44:51,17.7475
394,-4132,-3020,14880,2022-03-26,17:45:07,17.7519
395,-4200,-2928,14824,2022-03-26,17:45:22,17.7561
396,-4288,-3020,14852,2022-03-26,17:45:38,17.7606
397,-4168,-2968,14936,2022-03-26,17:45:54,17.765
398,-4180,-3020,14740,2022-03-26,17:46:09,17.7692
399,-4124,-2964,14812,2022-03-26,17:46:25,17.7736
400,-4216,-2980,14912,2022-03-26,17:46:41,17.7781
401,-4180,-3036,14900,2022-03-26,17:46:56,17.7822
402,-4180,-3032,14828,2022-03-26,17:47:12,17.7867
403,-4104,-2920,14788,2022-03-26,17:47:28,17.7911
404,-4168,-3072,15008,2022-03-26,17:47:43,17.7953
405,-4096,-2944,15000,2022-03-26,17:47:59,17.7997
406,-4212,-3004,14888,2022-03-26,17:48:15,17.8042
407,-4112,-3028,14956,2022-03-26,17:48:30,17.8083
408,-4180,-2984,14892,2022-03-26,17:48:46,17.8128
409,-4228,-3028,15156,2022-03-26,17:49:02,17.8172
410,-4220,-3004,14896,2022-03-26,17:49:17,17.8214
411,-4168,-2892,14916,2022-03-26,17:49:33,17.8258
412,-4092,-3016,14880,2022-03-26,17:49:49,17.8303
413,-4092,-3004,15040,2022-03-26,17:50:04,17.8344
414,-4080,-2976,14896,2022-03-26,17:50:20,17.8389
415,-4152,-2944,15000,2022-03-26,17:50:36,17.8433
416,-4172,-3004,14952,2022-03-26,17:50:51,17.8475
417,-4168,-2972,15120,2022-03-26,17:51:07,17.8519
418,-4160,-3016,14776,2022-03-26,17:51:23,17.8564
419,-4172,-3080,14972,2022-03-26,17:51:38,17.8606
420,-4128,-2908,14888,2022-03-26,17:51:54,17.865
421,-4240,-2952,14992,2022-03-26,17:52:10,17.8694
422,-4096,-2912,14904,2022-03-26,17:52:25,17.8736
423,-4128,-2948,14848,2022-03-26,17:52:41,17.8781
424,-4108,-2876,14852,2022-03-26,17:52:57,17.8825
425,-4112,-2920,15044,2022-03-26,17:53:12,17.8867
426,-4128,-3000,14868,2022-03-26,17:53:28,17.8911
427,-4000,-2924,15084,2022-03-26,17:53:44,17.8956
428,-4196,-3076,15016,2022-03-26,17:53:59,17.8997
429,-4056,-2900,14964,2022-03-26,17:54:15,17.9042
430,-4108,-3020,14772,2022-03-26,17:54:31,17.9086
431,-4128,-2916,14768,2022-03-26,17:54:46,17.9128
432,-4128,-2980,14880,2022-03-26,17:55:02,17.9172
433,-4264,-3004,14908,2022-03-26,17:55:18,17.9217
434,-4192,-2932,14924,2022-03-26,17:55:33,17.9258
435,-4152,-2932,14984,2022-03-26,17:55:49,17.9303
436,-4092,-2924,15012,2022-03-26,17:56:05,17.9347
437,-4096,-2912,14988,2022-03-26,17:56:20,17.9389
438,-4092,-2980,15020,2022-03-26,17:56:36,17.9433
439,-4112,-2932,14960,2022-03-26,17:56:52,17.9478
440,-4104,-2908,14924,2022-03-26,17:57:07,17.9519
441,-4052,-2944,14888,2022-03-26,17:57:23,17.9564
442,-4100,-2932,14964,2022-03-26,17:57:39,17.9608
443,-4104,-2908,14936,2022-03-26,17:57:54,17.965
444,-4152,-2924,14924,2022-03-26,17:58:10,17.9694
445,-4164,-2936,14896,2022-03-26,17:58:26,17.9739
446,-4080,-2964,14964,2022-03-26,17:58:41,17.9781
447,-4156,-2884,14796,2022-03-26,17:58:57,17.9825
448,-4072,-2928,14900,2022-03-26,17:59:13,17.9869
449,-4220,-2904,15028,2022-03-26,17:59:28,17.9911
450,-4224,-2944,15156,2022-03-26,17:59:44,17.9956
451,-4120,-2968,14868,2022-03-26,18:00:00,18
452,-4168,-2880,14964,2022-03-26,18:00:15,18.0042
453,-4100,-2948,14820,2022-03-26,18:00:31,18.0086
454,-4100,-2960,15016,2022-03-26,18:00:47,18.0131
455,-3880,-2988,14920,2022-03-26,18:01:02,18.0172
456,-4052,-2948,15188,2022-03-26,18:01:18,18.0217
457,-4080,-2924,14956,2022-03-26,18:01:34,18.0261
458,-4120,-2916,14880,2022-03-26,18:01:49,18.0303
459,-4180,-2912,14996,2022-03-26,18:02:05,18.0347
460,-4096,-2972,14908,2022-03-26,18:02:21,18.0392
461,-4128,-2992,14852,2022-03-26,18:02:36,18.0433
462,-4144,-2888,14912,2022-03-26,18:02:52,18.0478
463,-4008,-2960,14972,2022-03-26,18:03:08,18.0522
464,-4108,-2880,14900,2022-03-26,18:03:23,18.0564
465,-4096,-3024,14820,2022-03-26,18:03:39,18.0608
466,-4104,-2964,15008,2022-03-26,18:03:55,18.0653
467,-4032,-2900,14876,2022-03-26,18:04:10,18.0694
468,-4056,-3000,14992,2022-03-26,18:04:26,18.0739
469,-4124,-2944,14868,2022-03-26,18:04:42,18.0783
470,-4056,-2952,14860,2022-03-26,18:04:57,18.0825
471,-4056,-3000,14948,2022-03-26,18:05:13,18.0869
472,-4192,-2996,14944,2022-03-26,18:05:29,18.0914
473,-4112,-2964,14900,2022-03-26,18:05:44,18.0956
