id,x,y,z,date_mpu,time_mpu,time_float
454,-1192,1008,15740,2022-03-25,21:53:21,21.8892
455,-1176,984,15740,2022-03-25,21:53:37,21.8936
456,-1172,968,15640,2022-03-25,21:53:53,21.8981
457,-1156,944,15744,2022-03-25,21:54:08,21.9022
458,-1228,996,15728,2022-03-25,21:54:24,21.9067
459,-1200,1032,15700,2022-03-25,21:54:40,21.9111
460,-1228,964,15628,2022-03-25,21:54:55,21.9153
461,-1212,956,15760,2022-03-25,21:55:11,21.9197
462,-1260,988,15804,2022-03-25,21:55:27,21.9242
463,-1208,892,15744,2022-03-25,21:55:42,21.9283
464,-1184,1024,15740,2022-03-25,21:55:58,21.9328
465,-1216,1012,15692,2022-03-25,21:56:14,21.9372
466,-1160,940,15652,2022-03-25,21:56:29,21.9414
467,-1192,1076,15676,2022-03-25,21:56:45,21.9458
468,-1148,956,15668,2022-03-25,21:57:01,21.9503
469,-1120,1020,15588,2022-03-25,21:57:16,21.9544
470,-1132,972,15716,2022-03-25,21:57:32,21.9589
471,-1176,1048,15736,2022-03-25,21:57:48,21.9633
472,-1172,1072,15720,2022-03-25,21:58:03,21.9675
473,-1224,948,15768,2022-03-25,21:58:19,21.9719
474,-1208,1012,15688,2022-03-25,21:58:34,21.9761
475,-1188,976,15688,2022-03-25,21:58:50,21.9806
476,-1184,972,15744,2022-03-25,21:59:06,21.985
477,-1252,1052,15800,2022-03-25,21:59:21,21.9892
478,-1204,956,15744,2022-03-25,21:59:37,21.9936
479,-1140,1008,15800,2022-03-25,21:59:53,21.9981
480,-1236,972,15808,2022-03-25,22:00:08,22.0022
481,-1260,1020,15656,2022-03-25,22:00:24,22.0067
482,-1256,916,15732,2022-03-25,22:00:40,22.0111
483,-1180,984,15720,2022-03-25,22:00:55,22.0153
484,-1172,988,15800,2022-03-25,22:01:11,22.0197
485,-1196,988,15652,2022-03-25,22:01:27,22.0242
486,-1232,1040,15764,2022-03-25,22:01:42,22.0283
487,-1216,928,15728,2022-03-25,22:01:58,22.0328
488,-1204,976,15824,2022-03-25,22:02:14,22.0372
489,-1160,980,15684,2022-03-25,22:02:29,22.0414
490,-1204,984,15700,2022-03-25,22:02:45,22.0458
491,-1192,988,15788,2022-03-25,22:03:01,22.0503
492,-1160,1004,15836,2022-03-25,22:03:16,22.0544
493,-1176,972,15652,2022-03-25,22:03:32,22.0589
494,-1248,960,15772,2022-03-25,22:03:48,22.0633
495,-1152,984,15644,2022-03-25,22:04:03,22.0675
496,-1160,980,15676,2022-03-25,22:04:19,22.0719
497,-1192,988,15724,2022-03-25,22:04:35,22.0764
498,-1180,956,15808,2022-03-25,22:04:50,22.0806
499,-1236,988,15712,2022-03-25,22:05:06,22.085
500,-1168,904,15796,2022-03-25,22:05:22,22.0894
501,-1204,968,15668,2022-03-25,22:05:38,22.0939
502,-1240,932,15756,2022-03-25,22:05:53,22.0981
503,-1124,980,15668,2022-03-25,22:06:09,22.1025
504,-1184,948,15812,2022-03-25,22:06:25,22.1069
505,-1160,992,15616,2022-03-25,22:06:40,22.1111
506,-1160,1008,15624,2022-03-25,22:06:56,22.1156
507,-1104,920,15736,2022-03-25,22:07:12,22.12
508,-1188,1020,15788,2022-03-25,22:07:27,22.1242
509,-1180,940,15612,2022-03-25,22:07:43,22.1286
510,-1220,908,15728,2022-03-25,22:07:59,22.1331
511,-1192,972,15732,2022-03-25,22:08:14,22.1372
512,-1232,1000,15820,2022-03-25,22:08:30,22.1417
513,-1220,896,15784,2022-03-25,22:08:46,22.1461
514,-1188,952,15840,2022-03-25,22:09:01,22.1503
515,-1224,1004,15672,2022-03-25,22:09:17,22.1547
516,-1172,924,15764,2022-03-25,22:09:33,22.1592
517,-1140,1020,15744,2022-03-25,22:09:48,22.1633
518,-1220,908,15720,2022-03-25,22:10:04,22.1678
519,-1168,924,15816,2022-03-25,22:10:20,22.1722
520,-1224,976,15668,2022-03-25,22:10:35,22.1764
521,-1200,960,15776,2022-03-25,22:10:51,22.1808
522,-1124,980,15704,2022-03-25,22:11:07,22.1853
523,-1240,952,15744,2022-03-25,22:11:22,22.1894
524,-1188,916,15652,2022-03-25,22:11:38,22.1939
525,-1200,972,15648,2022-03-25,22:11:54,22.1983
526,-1204,1016,15624,2022-03-25,22:12:09,22.2025
527,-1192,1000,15740,2022-03-25,22:12:25,22.2069
528,-1164,964,15724,2022-03-25,22:12:41,22.2114
529,-1180,936,15716,2022-03-25,22:12:56,22.2156
530,-1192,1004,15688,2022-03-25,22:13:12,22.22
531,-1144,976,15712,2022-03-25,22:13:28,22.2244
532,-1200,980,15760,2022-03-25,22:13:43,22.2286
533,-1184,952,15720,2022-03-25,22:13:59,22.2331
534,-1136,988,15824,2022-03-25,22:14:15,22.2375
535,-1156,1052,15808,2022-03-25,22:14:30,22.2417
536,-1204,976,15704,2022-03-25,22:14:46,22.2461
537,-1176,1000,15672,2022-03-25,22:15:02,22.2506
538,-1208,1004,15684,2022-03-25,22:15:17,22.2547
539,-1216,928,15720,2022-03-25,22:15:33,22.2592
540,-1204,992,15724,2022-03-25,22:15:49,22.2636
541,-1212,992,15912,2022-03-25,22:16:05,22.2681
542,-1244,944,15680,2022-03-25,22:16:20,22.2722
543,-1188,936,15692,2022-03-25,22:16:36,22.2767
544,-1184,1004,15708,2022-03-25,22:16:51,22.2808
545,-1168,988,15716,2022-03-25,22:17:07,22.2853
546,-1196,932,15612,2022-03-25,22:17:23,22.2897
547,-1196,924,15580,2022-03-25,22:17:38,22.2939
548,-1220,860,15700,2022-03-25,22:17:54,22.2983
549,-1120,984,15660,2022-03-25,22:18:10,22.3028
550,-1188,1048,15808,2022-03-25,22:18:25,22.3069
551,-1212,928,15824,2022-03-25,22:18:41,22.3114
552,-1216,960,15720,2022-03-25,22:18:57,22.3158
553,-1184,968,15708,2022-03-25,22:19:12,22.32
554,-1192,948,15736,2022-03-25,22:19:28,22.3244
555,-1216,920,15744,2022-03-25,22:19:44,22.3289
